399.692,100.000
400.174,100.000
400.656,100.000
401.138,100.000
401.620,100.000
402.102,100.000
402.585,100.000
403.067,100.000
403.549,100.000
404.031,100.000
404.513,100.000
404.995,100.000
405.477,100.000
405.959,100.000
406.442,100.000
406.924,100.000
407.406,100.000
407.888,100.000
408.370,100.000
408.852,100.000
409.334,100.000
409.817,100.000
410.299,100.000
410.781,100.000
411.263,100.000
411.745,100.000
412.227,100.000
412.709,100.000
413.192,100.000
413.674,100.000
414.156,100.000
414.638,100.000
415.120,100.000
415.602,100.000
416.084,100.000
416.566,100.000
417.049,100.000
417.531,100.000
418.013,100.000
418.495,100.000
418.977,100.000
419.459,100.000
419.941,100.000
420.424,100.000
420.906,100.000
421.388,100.000
421.870,100.000
422.352,100.000
422.834,100.000
423.316,100.000
423.799,100.000
424.281,100.000
424.763,100.000
425.245,100.000
425.727,100.000
426.209,100.000
426.691,100.000
427.174,100.000
427.656,100.000
428.138,100.000
428.620,100.000
429.102,100.000
429.584,100.000
430.066,100.000
430.548,100.000
431.031,100.000
431.513,100.000
431.995,100.000
432.477,100.000
432.959,100.000
433.441,100.000
433.923,100.000
434.406,100.000
434.888,100.000
435.370,100.000
435.852,100.000
436.334,100.000
436.816,100.000
437.298,100.000
437.781,100.000
438.263,100.000
438.745,100.000
439.227,100.000
439.709,100.000
440.191,100.000
440.673,100.000
441.155,100.000
441.638,100.000
442.120,100.000
442.602,100.000
443.084,100.000
443.566,100.000
444.048,100.000
444.530,100.000
445.013,100.000
445.495,100.000
445.977,100.000
446.459,100.000
446.941,100.000
447.423,100.000
447.905,100.000
448.388,100.000
448.870,100.000
449.352,100.000
449.834,100.000
450.316,100.000
450.798,100.000
451.280,100.000
451.763,100.000
452.245,100.000
452.727,100.000
453.209,100.000
453.691,100.000
454.173,100.000
454.655,100.000
455.137,100.000
455.620,100.000
456.102,100.000
456.584,100.000
457.066,100.000
457.548,100.000
458.030,100.000
458.512,100.000
458.995,100.000
459.477,100.000
459.959,100.000
460.441,100.000
460.923,100.000
461.405,100.000
461.887,100.000
462.370,100.000
462.852,100.000
463.334,100.000
463.816,100.000
464.298,100.000
464.780,100.000
465.262,100.000
465.744,100.000
466.227,100.000
466.709,100.000
467.191,100.000
467.673,100.000
468.155,100.000
468.637,100.000
469.119,100.000
469.602,100.000
470.084,100.000
470.566,100.000
471.048,100.000
471.530,100.000
472.012,100.000
472.494,100.000
472.977,100.000
473.459,100.000
473.941,100.000
474.423,100.000
474.905,100.000
475.387,100.000
475.869,100.000
476.351,100.000
476.834,100.000
477.316,100.000
477.798,100.000
478.280,100.000
478.762,100.000
479.244,100.000
479.726,100.000
480.209,100.000
480.691,100.000
481.173,100.000
481.655,100.000
482.137,100.000
482.619,100.000
483.101,100.000
483.584,100.000
484.066,100.000
484.548,100.000
485.030,100.000
485.512,100.000
485.994,100.000
486.476,100.000
486.959,100.000
487.441,100.000
487.923,100.000
488.405,100.000
488.887,100.000
489.369,100.000
489.851,100.000
490.333,100.000
490.816,100.000
491.298,100.000
491.780,100.000
492.262,100.000
492.744,100.000
493.226,100.000
493.708,100.000
494.191,100.000
494.673,100.000
495.155,100.000
495.637,100.000
496.119,100.000
496.601,100.000
497.083,100.000
497.566,100.000
498.048,100.000
498.530,100.000
499.012,100.000
499.494,100.000
499.976,100.000
500.458,100.000
